Order in the DSM-5,DSM-5 Chapter,DSM-5 Disorder,Constituent symptom (wording from DSM-5),Unique symptom number (index for duplicate symptoms; sort by this column to see the groups of symptoms that have been coded as redundant),"Specifier ( 0 = primary diagnosis, 1 = specifier)","Repeats at all (0 = no, 1 = yes)","Repeats within a chapter (0=no, 1=yes)",Number of diagnoses symptom appears in (count),"Repeats between chapters (0=no, 1=yes)",Number of chapters symptom appears in (count)
168,Ch3 - Bipolar and Related Disorders,Bipolar I Disorder,Irritable mood,291,0,1,1,16,1,8
169,Ch3 - Bipolar and Related Disorders,Bipolar I Disorder,Increased activity or energy,659,0,1,1,5,1,3
170,Ch3 - Bipolar and Related Disorders,Bipolar I Disorder,Inflated self-esteem,530,0,1,1,5,1,3
171,Ch3 - Bipolar and Related Disorders,Bipolar I Disorder,Grandiosity,529,0,1,1,5,1,3
172,Ch3 - Bipolar and Related Disorders,Bipolar I Disorder,"Decreased need for sleep (eg, feels rested after only 3 hours of sleep)",660,0,1,1,4,1,2
173,Ch3 - Bipolar and Related Disorders,Bipolar I Disorder,More talkative than usual,49,0,1,1,4,1,2
174,Ch3 - Bipolar and Related Disorders,Bipolar I Disorder,Pressure to keep talking,292,0,1,1,4,1,2
175,Ch3 - Bipolar and Related Disorders,Bipolar I Disorder,Flight of ideas,293,0,1,1,4,1,2
176,Ch3 - Bipolar and Related Disorders,Bipolar I Disorder,Subjective experience that thoughts are racing,294,0,1,1,4,1,2
177,Ch3 - Bipolar and Related Disorders,Bipolar I Disorder,"Distractibility (ie, attention too easily drawn to unimportant or irrelevant external stimuli), as reported or observed",224,0,1,1,7,1,4
178,Ch3 - Bipolar and Related Disorders,Bipolar I Disorder,"Increase in goal-directed activity (either socially, at work or school, or sexually)",673,0,1,1,4,1,2
179,Ch3 - Bipolar and Related Disorders,Bipolar I Disorder,Psychomotor agitation,598,0,1,1,16,1,5
180,Ch3 - Bipolar and Related Disorders,Bipolar I Disorder,"Excessive involvement in activities that have a high potential for painful consequences (eg, engaging in unrestrained buying sprees, sexual indiscretions, or foolish business investments)",68,0,1,1,5,1,4
181,Ch3 - Bipolar and Related Disorders,Bipolar I Disorder,Depressed mood,295,0,1,1,15,1,6
182,Ch3 - Bipolar and Related Disorders,Bipolar I Disorder,"Diminished interest in all, or almost all, activities",296,0,1,1,7,1,4
183,Ch3 - Bipolar and Related Disorders,Bipolar I Disorder,"Diminished pleasure in all, or almost all, activities",63,0,1,1,8,1,4
184,Ch3 - Bipolar and Related Disorders,Bipolar I Disorder,Significant weight loss,297,0,1,1,10,1,5
185,Ch3 - Bipolar and Related Disorders,Bipolar I Disorder,Significant weight gain,298,0,1,1,8,1,3
186,Ch3 - Bipolar and Related Disorders,Bipolar I Disorder,Decrease in appetite,299,0,1,1,10,1,4
187,Ch3 - Bipolar and Related Disorders,Bipolar I Disorder,Increase in appetite,300,0,1,1,12,1,5
188,Ch3 - Bipolar and Related Disorders,Bipolar I Disorder,Insomnia,301,0,1,1,22,1,8
189,Ch3 - Bipolar and Related Disorders,Bipolar I Disorder,Hypersomnia,630,0,1,1,17,1,6
190,Ch3 - Bipolar and Related Disorders,Bipolar I Disorder,Psychomotor retardation,69,0,1,1,14,1,5
191,Ch3 - Bipolar and Related Disorders,Bipolar I Disorder,Fatigue or loss of energy,662,0,1,1,12,1,6
192,Ch3 - Bipolar and Related Disorders,Bipolar I Disorder,Feelings of worthlessness,302,0,1,1,5,1,3
193,Ch3 - Bipolar and Related Disorders,Bipolar I Disorder,Feelings of inappropriate or excessive guilt (which may be delusional),679,0,1,1,7,1,3
194,Ch3 - Bipolar and Related Disorders,Bipolar I Disorder,Diminished ability to think or concentrate,70,0,1,1,17,1,7
195,Ch3 - Bipolar and Related Disorders,Bipolar I Disorder,Indecisiveness,579,0,1,1,7,1,4
196,Ch3 - Bipolar and Related Disorders,Bipolar I Disorder,Thoughts of death (not just fear of dying),303,0,1,1,5,1,3
197,Ch3 - Bipolar and Related Disorders,Bipolar I Disorder,Suicidal ideation without a specific plan,71,0,1,1,5,1,3
198,Ch3 - Bipolar and Related Disorders,Bipolar I Disorder,Suicide attempt,550,0,1,1,6,1,4
199,Ch3 - Bipolar and Related Disorders,Bipolar I Disorder,Specific plan for committing suicide,551,0,1,1,5,1,3
200,Ch3 - Bipolar and Related Disorders,Bipolar II Disorder,Elevated mood,290,0,1,1,10,1,4
201,Ch3 - Bipolar and Related Disorders,Bipolar II Disorder,Expansive mood,67,0,1,1,5,1,3
202,Ch3 - Bipolar and Related Disorders,Bipolar II Disorder,Irritable mood,291,0,1,1,16,1,8
203,Ch3 - Bipolar and Related Disorders,Bipolar II Disorder,Increased activity or energy,659,0,1,1,5,1,3
204,Ch3 - Bipolar and Related Disorders,Bipolar II Disorder,Inflated self-esteem,530,0,1,1,5,1,3
205,Ch3 - Bipolar and Related Disorders,Bipolar II Disorder,Grandiosity,529,0,1,1,5,1,3
206,Ch3 - Bipolar and Related Disorders,Bipolar II Disorder,"Decreased need for sleep (eg, feels rested after only 3 hours of sleep)",660,0,1,1,4,1,2
207,Ch3 - Bipolar and Related Disorders,Bipolar II Disorder,More talkative than usual,49,0,1,1,4,1,2
208,Ch3 - Bipolar and Related Disorders,Bipolar II Disorder,Pressure to keep talking,292,0,1,1,4,1,2
209,Ch3 - Bipolar and Related Disorders,Bipolar II Disorder,Flight of ideas,293,0,1,1,4,1,2
210,Ch3 - Bipolar and Related Disorders,Bipolar II Disorder,Subjective experience that thoughts are racing,294,0,1,1,4,1,2
211,Ch3 - Bipolar and Related Disorders,Bipolar II Disorder,"Distractibility (ie, attention too easily drawn to unimportant or irrelevant external stimuli), as reported or observed",224,0,1,1,7,1,4
212,Ch3 - Bipolar and Related Disorders,Bipolar II Disorder,"Increase in goal-directed activity (either socially, at work or school, or sexually)",673,0,1,1,4,1,2
213,Ch3 - Bipolar and Related Disorders,Bipolar II Disorder,Psychomotor agitation,598,0,1,1,16,1,5
214,Ch3 - Bipolar and Related Disorders,Bipolar II Disorder,"Excessive involvement in activities that have a high potential for painful consequences (eg, engaging in unrestrained buying sprees, sexual indiscretions, or foolish business investments)",68,0,1,1,5,1,4
215,Ch3 - Bipolar and Related Disorders,Bipolar II Disorder,Depressed mood,295,0,1,1,15,1,6
216,Ch3 - Bipolar and Related Disorders,Bipolar II Disorder,"Diminished interest in all, or almost all, activities",296,0,1,1,7,1,4
217,Ch3 - Bipolar and Related Disorders,Bipolar II Disorder,"Diminished pleasure in all, or almost all, activities",63,0,1,1,8,1,4
218,Ch3 - Bipolar and Related Disorders,Bipolar II Disorder,Significant weight loss,297,0,1,1,10,1,5
219,Ch3 - Bipolar and Related Disorders,Bipolar II Disorder,Significant weight gain,298,0,1,1,8,1,3
220,Ch3 - Bipolar and Related Disorders,Bipolar II Disorder,Decrease in appetite,299,0,1,1,10,1,4
221,Ch3 - Bipolar and Related Disorders,Bipolar II Disorder,Increase in appetite,300,0,1,1,12,1,5
222,Ch3 - Bipolar and Related Disorders,Bipolar II Disorder,Insomnia,301,0,1,1,22,1,8
223,Ch3 - Bipolar and Related Disorders,Bipolar II Disorder,Hypersomnia,630,0,1,1,17,1,6
224,Ch3 - Bipolar and Related Disorders,Bipolar II Disorder,Psychomotor retardation,69,0,1,1,14,1,5
225,Ch3 - Bipolar and Related Disorders,Bipolar II Disorder,Fatigue or loss of energy,662,0,1,1,12,1,6
226,Ch3 - Bipolar and Related Disorders,Bipolar II Disorder,Feelings of worthlessness,302,0,1,1,5,1,3
227,Ch3 - Bipolar and Related Disorders,Bipolar II Disorder,Feelings of inappropriate or excessive guilt (which may be delusional),679,0,1,1,7,1,3
228,Ch3 - Bipolar and Related Disorders,Bipolar II Disorder,Diminished ability to think or concentrate,70,0,1,1,17,1,7
229,Ch3 - Bipolar and Related Disorders,Bipolar II Disorder,Indecisiveness,579,0,1,1,7,1,4
230,Ch3 - Bipolar and Related Disorders,Bipolar II Disorder,Thoughts of death (not just fear of dying),303,0,1,1,5,1,3
231,Ch3 - Bipolar and Related Disorders,Bipolar II Disorder,Suicidal ideation without a specific plan,71,0,1,1,5,1,3
232,Ch3 - Bipolar and Related Disorders,Bipolar II Disorder,Suicide attempt,550,0,1,1,6,1,4
233,Ch3 - Bipolar and Related Disorders,Bipolar II Disorder,Specific plan for committing suicide,551,0,1,1,5,1,3
234,Ch3 - Bipolar and Related Disorders,Cyclothymic Disorder,Elevated mood,290,0,1,1,10,1,4
235,Ch3 - Bipolar and Related Disorders,Cyclothymic Disorder,Expansive mood,67,0,1,1,5,1,3
236,Ch3 - Bipolar and Related Disorders,Cyclothymic Disorder,Irritable mood,291,0,1,1,16,1,8
237,Ch3 - Bipolar and Related Disorders,Cyclothymic Disorder,Increased activity or energy,659,0,1,1,5,1,3
238,Ch3 - Bipolar and Related Disorders,Cyclothymic Disorder,Inflated self-esteem,530,0,1,1,5,1,3
239,Ch3 - Bipolar and Related Disorders,Cyclothymic Disorder,Grandiosity,529,0,1,1,5,1,3
240,Ch3 - Bipolar and Related Disorders,Cyclothymic Disorder,"Decreased need for sleep (eg, feels rested after only 3 hours of sleep)",660,0,1,1,4,1,2
241,Ch3 - Bipolar and Related Disorders,Cyclothymic Disorder,More talkative than usual,49,0,1,1,4,1,2
242,Ch3 - Bipolar and Related Disorders,Cyclothymic Disorder,Pressure to keep talking,292,0,1,1,4,1,2
243,Ch3 - Bipolar and Related Disorders,Cyclothymic Disorder,Flight of ideas,293,0,1,1,4,1,2
244,Ch3 - Bipolar and Related Disorders,Cyclothymic Disorder,Subjective experience that thoughts are racing,294,0,1,1,4,1,2
245,Ch3 - Bipolar and Related Disorders,Cyclothymic Disorder,"Distractibility (ie, attention too easily drawn to unimportant or irrelevant external stimuli), as reported or observed",224,0,1,1,7,1,4
246,Ch3 - Bipolar and Related Disorders,Cyclothymic Disorder,"Increase in goal-directed activity (either socially, at work or school, or sexually)",673,0,1,1,4,1,2
247,Ch3 - Bipolar and Related Disorders,Cyclothymic Disorder,Psychomotor agitation,598,0,1,1,16,1,5
248,Ch3 - Bipolar and Related Disorders,Cyclothymic Disorder,"Excessive involvement in activities that have a high potential for painful consequences (eg, engaging in unrestrained buying sprees, sexual indiscretions, or foolish business investments)",68,0,1,1,5,1,4
249,Ch3 - Bipolar and Related Disorders,Cyclothymic Disorder,Depressed mood,295,0,1,1,15,1,6
250,Ch3 - Bipolar and Related Disorders,Cyclothymic Disorder,"Diminished interest in all, or almost all, activities",296,0,1,1,7,1,4
251,Ch3 - Bipolar and Related Disorders,Cyclothymic Disorder,"Diminished pleasure in all, or almost all, activities",63,0,1,1,8,1,4
252,Ch3 - Bipolar and Related Disorders,Cyclothymic Disorder,Significant weight loss,297,0,1,1,10,1,5
253,Ch3 - Bipolar and Related Disorders,Cyclothymic Disorder,Significant weight gain,298,0,1,1,8,1,3
254,Ch3 - Bipolar and Related Disorders,Cyclothymic Disorder,Decrease in appetite,299,0,1,1,10,1,4
255,Ch3 - Bipolar and Related Disorders,Cyclothymic Disorder,Increase in appetite,300,0,1,1,12,1,5
256,Ch3 - Bipolar and Related Disorders,Cyclothymic Disorder,Insomnia,301,0,1,1,22,1,8
257,Ch3 - Bipolar and Related Disorders,Cyclothymic Disorder,Hypersomnia,630,0,1,1,17,1,6
258,Ch3 - Bipolar and Related Disorders,Cyclothymic Disorder,Psychomotor retardation,69,0,1,1,14,1,5
259,Ch3 - Bipolar and Related Disorders,Cyclothymic Disorder,Fatigue or loss of energy,662,0,1,1,12,1,6
260,Ch3 - Bipolar and Related Disorders,Cyclothymic Disorder,Feelings of worthlessness,302,0,1,1,5,1,3
261,Ch3 - Bipolar and Related Disorders,Cyclothymic Disorder,Feelings of inappropriate or excessive guilt (which may be delusional),679,0,1,1,7,1,3
262,Ch3 - Bipolar and Related Disorders,Cyclothymic Disorder,Diminished ability to think or concentrate,70,0,1,1,17,1,7
263,Ch3 - Bipolar and Related Disorders,Cyclothymic Disorder,Indecisiveness,579,0,1,1,7,1,4
264,Ch3 - Bipolar and Related Disorders,Cyclothymic Disorder,Thoughts of death (not just fear of dying),303,0,1,1,5,1,3
265,Ch3 - Bipolar and Related Disorders,Cyclothymic Disorder,Suicidal ideation without a specific plan,71,0,1,1,5,1,3
266,Ch3 - Bipolar and Related Disorders,Cyclothymic Disorder,Suicide attempt,550,0,1,1,6,1,4
267,Ch3 - Bipolar and Related Disorders,Cyclothymic Disorder,Specific plan for committing suicide,551,0,1,1,5,1,3
268,Ch3 - Bipolar and Related Disorders,Specifiers for Bipolar and Related Disorders - With anxious distress,Feeling keyed up or tense,304,1,1,1,4,1,3
269,Ch3 - Bipolar and Related Disorders,Specifiers for Bipolar and Related Disorders - With anxious distress,Feeling unusually restless,276,1,1,1,10,1,7
270,Ch3 - Bipolar and Related Disorders,Specifiers for Bipolar and Related Disorders - With anxious distress,Difficulty concentrating,70,1,1,1,17,1,7
271,Ch3 - Bipolar and Related Disorders,Specifiers for Bipolar and Related Disorders - With anxious distress,Worry,633,1,1,0,4,1,4
272,Ch3 - Bipolar and Related Disorders,Specifiers for Bipolar and Related Disorders - With anxious distress,Fear that something awful may happen,305,1,1,0,2,1,2
273,Ch3 - Bipolar and Related Disorders,Specifiers for Bipolar and Related Disorders - With anxious distress,Feeling that the individual might lose control of himself or herself ,306,1,1,0,4,1,4
274,Ch3 - Bipolar and Related Disorders,Specifiers for Bipolar and Related Disorders - With melancholic features,"Loss of pleasure in all, or almost all, activities",63,1,1,1,8,1,4
275,Ch3 - Bipolar and Related Disorders,Specifiers for Bipolar and Related Disorders - With melancholic features,"A distinct quality of depressed mood characterized by profound despondency, despair, and/or moroseness or by so-called empty mood; Depression",295,1,1,1,15,1,6
276,Ch3 - Bipolar and Related Disorders,Specifiers for Bipolar and Related Disorders - With melancholic features,Early-morning awakening with inability to return to sleep,301,1,1,1,22,1,8
277,Ch3 - Bipolar and Related Disorders,Specifiers for Bipolar and Related Disorders - With melancholic features,Psychomotor agitation,598,1,1,1,16,1,5
278,Ch3 - Bipolar and Related Disorders,Specifiers for Bipolar and Related Disorders - With melancholic features,Psychomotor retardation,69,1,1,1,14,1,5
279,Ch3 - Bipolar and Related Disorders,Specifiers for Bipolar and Related Disorders - With melancholic features,Significant anorexia,299,1,1,1,10,1,4
280,Ch3 - Bipolar and Related Disorders,Specifiers for Bipolar and Related Disorders - With melancholic features,Significant weight loss,297,1,1,1,10,1,5
281,Ch3 - Bipolar and Related Disorders,Specifiers for Bipolar and Related Disorders - With melancholic features,Excessive or inapproriate guilt,679,1,1,1,7,1,3
282,Ch3 - Bipolar and Related Disorders,Specifiers for Bipolar and Related Disorders - With atypical features,"Mood reactivity (ie, mood brightens in response to actual or potential positive events)",307,1,1,0,2,1,2
283,Ch3 - Bipolar and Related Disorders,Specifiers for Bipolar and Related Disorders - With atypical features,Significant weight gain,298,1,1,1,8,1,3
284,Ch3 - Bipolar and Related Disorders,Specifiers for Bipolar and Related Disorders - With atypical features,Increase in appetite,300,1,1,1,12,1,5
285,Ch3 - Bipolar and Related Disorders,Specifiers for Bipolar and Related Disorders - With atypical features,Hypersomnia,630,1,1,1,17,1,6
286,Ch3 - Bipolar and Related Disorders,Specifiers for Bipolar and Related Disorders - With atypical features,"Leaden paralysis (ie, heavy, leaden feelings in arms or legs)",314,1,1,0,2,1,2
287,Ch3 - Bipolar and Related Disorders,Specifiers for Bipolar and Related Disorders - With atypical features,Interpersonal rejection sensitivity,624,1,1,0,2,1,2
288,Ch3 - Bipolar and Related Disorders,Specifiers for Bipolar and Related Disorders - With psychotic features,Delusions,594,1,1,1,8,1,4
289,Ch3 - Bipolar and Related Disorders,Specifiers for Bipolar and Related Disorders - With psychotic features,Hallucinations,287,1,1,1,14,1,5
290,Ch3 - Bipolar and Related Disorders,Specifiers for Bipolar and Related Disorders - With psychotic features - With mood-congruent psychotic features,"The content of delusions and hallucinations is consistent with the typical manic themes of grandiosity, invulnerability, etc",56,1,1,0,2,1,2
291,Ch3 - Bipolar and Related Disorders,Specifiers for Bipolar and Related Disorders - With psychotic features - With mood-congruent psychotic features,"The content of all delusions and hallucinations may also include themes of suspiciousness or paranoia, especially with respect to others’ doubts about the individual’s capacities, accomplishments, and so forth ",642,1,1,0,2,1,2
292,Ch3 - Bipolar and Related Disorders,Specifiers for Bipolar and Related Disorders - With catatonia,Stupor,64,1,1,1,9,1,7
293,Ch3 - Bipolar and Related Disorders,Specifiers for Bipolar and Related Disorders - With catatonia,"Catalepsy/posturing (ie, passive induction of a posture held against gravity)",66,1,1,0,4,1,4
294,Ch3 - Bipolar and Related Disorders,Specifiers for Bipolar and Related Disorders - With catatonia,"Waxy flexibility (ie, slight, even resistance to positioning by examiner)",65,1,1,0,4,1,4
